storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storephone,storecountry,latlonlocation,latlonlocationdv
CARQUEST,CarQuest,100970,65 RUTHERFORD SOUTH  UNIT 5-6,BRAMPTON,ON,L6W 3J3,9054559595,CAN,"43.695642,-79.735093","43.695642,-79.735093"
CARQUEST,CarQuest,100971,543 WEST STREET,BRANTFORD,ON,N3R 6M5,5197594462,CAN,"43.1657014,-80.2500357","43.1657014,-80.2500357"
CARQUEST,CarQuest,100972,2778 HIGHWAY 325,WILEVILLE,NS,B4V 5G2,9025435068,CAN,"44.3712061,-64.5392679","44.3712061,-64.5392679"
CARQUEST,CarQuest,100973,"1220 STEWART BLVD, #2",BROCKVILLE,ON,K6V 7H2,6133427777,CAN,"44.6024235,-75.7113151","44.6024235,-75.7113151"
CARQUEST,CarQuest,100974,538 W HELM ST,BROOKFIELD,MO,64628,6602587484,USA,"39.7827133,-93.0791442","39.7827133,-93.0791442"
CARQUEST,CarQuest,100975,130 S FOURTH ST,BURLINGTON,IA,52601,3197524546,USA,"40.8073877,-91.1045047","40.8073877,-91.1045047"
CARQUEST,CarQuest,100976,2416 INDUSTRIAL ST,BURLINGTON,ON,L7P 1A5,9053354222,CAN,"43.352113,-79.809299","43.352113,-79.809299"
CARQUEST,CarQuest,100977,3639 HARRISON AVENUE,BUTTE,MT,59701,4067234357,USA,"45.9715377,-112.5087869","45.9715377,-112.5087869"
CARQUEST,CarQuest,100978,423 N MITCHELL,CADILLAC,MI,49601,2317759772,USA,"44.2537192,-85.4024731","44.2537192,-85.4024731"
CARQUEST,CarQuest,100979,282 ARGYLE STREET SOUTH,CALEDONIA,ON,N3W 1K8,9057656661,CAN,"43.0638167,-79.9589267","43.0638167,-79.9589267"
CARQUEST,CarQuest,100980,221 W. GROVE ST.,CALEDONIA,MN,55921,5077243383,USA,"43.6333969,-91.4990436","43.6333969,-91.4990436"
CARQUEST,CarQuest,100981,30 3RD SRTEET,CALEXICO,CA,92231,7603572953,USA,"32.6675349,-115.497907","32.6675349,-115.497907"
CARQUEST,CarQuest,100982,451 DUNDAS STREET,CAMBRIDGE,ON,N1R 5R5,5196215270,CAN,"43.370581,-80.3136763","43.370581,-80.3136763"
CARQUEST,CarQuest,100983,415 NORTH WALNUT,CAMERON,MO,64429,8166322127,USA,"39.7430162,-94.2360189","39.7430162,-94.2360189"
CARQUEST,CarQuest,100984,6516 OLD BRANCH AVE,CAMP SPRINGS,MD,20748,3014499190,USA,"38.799812,-76.9030356","38.799812,-76.9030356"
CARQUEST,CarQuest,100985,90 SISTER GREEN RD,CAMPBELLTON,NB,E3N 3M7,5067533044,CAN,"47.9928592,-66.6967496","47.9928592,-66.6967496"
CARQUEST,CarQuest,100986,5845  WINDMILL AVE  UNIT # A,CARMICHAEL,CA,95608,9169746390,USA,"38.6482051,-121.3285942","38.6482051,-121.3285942"
CARQUEST,CarQuest,100987,68-580 RAMON ROAD,CATHEDRAL CITY,CA,92234,7603211564,USA,"33.8162867,-116.4658138","33.8162867,-116.4658138"
CARQUEST,CarQuest,100988,377 NORTH 2150 WEST,CEDAR CITY,UT,84720,4355863834,USA,"37.6836852,-113.0900382","37.6836852,-113.0900382"
CARQUEST,CarQuest,100989,1845 16TH AVE SW,CEDAR RAPIDS,IA,52404,3193650431,USA,"41.9619505,-91.6982816","41.9619505,-91.6982816"
CARQUEST,CarQuest,100990,507 N MAIN STREET,CHARLES CITY,IA,50616,6412282705,USA,"43.070319,-92.6766073","43.070319,-92.6766073"
CARQUEST,CarQuest,100991,410 MOUNT EDWARD RD,CHARLOTTETOWN,PE,C1A 2E1,9025661198,CAN,"46.2764944,-63.1436199","46.2764944,-63.1436199"
CARQUEST,CarQuest,100992,103 W 6TH ST,CHEYENNE,WY,82007,3076329369,USA,"41.1238385,-104.8086643","41.1238385,-104.8086643"
CARQUEST,CarQuest,100993,1327 EAST THOMAS AVENUE,ARLINGTON HEIGHTS,IL,60004,8476700431,USA,"42.102209,-87.966632","42.102209,-87.966632"
CARQUEST,CarQuest,100994,5730 W. 79TH ST,BURBANK,IL,60459-1333,7086363366,USA,"41.7490372,-87.7640762","41.7490372,-87.7640762"
CARQUEST,CarQuest,100995,5644 W. DIVERSEY AVE,CHICAGO,IL,60639,7738041300,USA,"41.93147,-87.7680694","41.93147,-87.7680694"
CARQUEST,CarQuest,100996,950 S WASHINGTON,CHILLICOTHE,MO,64601,6606462985,USA,"39.7821971,-93.5551375","39.7821971,-93.5551375"
CARQUEST,CarQuest,100997,201 EAST JOLIET STREET,OTTAWA,IL,61350,8154330892,USA,"41.3549191,-88.8395235","41.3549191,-88.8395235"
CARQUEST,CarQuest,100998,1931 ROSSVILLE AVENUE,CHATTANOOGA,TN,37408,4237568801,USA,"35.029286,-85.3022711","35.029286,-85.3022711"
CARQUEST,CarQuest,100999,314 NORTH MAIN,CHURCH POINT,LA,70525,3376846353,USA,"30.4076904,-92.2184017","30.4076904,-92.2184017"
CARQUEST,CarQuest,101000,24005 CLAWITER ROAD,HAYWARD,CA,94545,5107834544,USA,"37.6452148,-122.1204218","37.6452148,-122.1204218"
CARQUEST,CarQuest,101001,5043 CLEVELAND STREET,VIRGINIA BEACH,VA,23462,7575520178,USA,"36.841876,-76.1564637","36.841876,-76.1564637"
CARQUEST,CarQuest,101002,165 FIRST ST SW,CLEVELAND,TN,37311,4234721555,USA,"35.1590741,-84.8779241","35.1590741,-84.8779241"
CARQUEST,CarQuest,101003,1111 ELGIN STREET WEST,COBOURG,ON,K9A 5H7,9053722111,CAN,"43.9702477,-78.1997536","43.9702477,-78.1997536"
CARQUEST,CarQuest,101004,2013 BIG HORN AVENUE,CODY,WY,82414,3075872255,USA,"44.5338867,-109.0484746","44.5338867,-109.0484746"
CARQUEST,CarQuest,101005,108 COLDBROOK VILLAGE PARK DRI,COLDBROOK,NS,B4R 1B9,9026792411,CAN,"45.0720012,-64.5646141","45.0720012,-64.5646141"
CARQUEST,CarQuest,101006,#1 LOCUST STREET,COLSTRIP,MT,59323,4067483335,USA,"45.8826357,-106.6291048","45.8826357,-106.6291048"
CARQUEST,CarQuest,101007,1625 HWY 2 WEST,COLUMBIA FALLS,MT,59913,4068924375,USA,"48.3712803,-114.2036964","48.3712803,-114.2036964"
CARQUEST,CarQuest,101008,9070 MARSHALL RD.,CRANBERRY TWP,PA,16066-3606,7247764871,USA,"40.704859,-80.0997517","40.704859,-80.0997517"
CARQUEST,CarQuest,101009,425 2ND AVE SW,CRESCO,IA,52136,5635472760,USA,"43.3707148,-92.1228161","43.3707148,-92.1228161"
CARQUEST,CarQuest,101010,427 OLD LANTANA ROAD,CROSSVILLE,TN,38555,9314561406,USA,"35.9352924,-85.035911","35.9352924,-85.035911"
CARQUEST,CarQuest,101011,415 EAST MAIN,CUT BANK,MT,59427,4068735511,USA,"48.6335084,-112.3267159","48.6335084,-112.3267159"
CARQUEST,CarQuest,101012,335 MT CROSS RD,DANVILLE,VA,24540,4347997760,USA,"36.5912078,-79.4252897","36.5912078,-79.4252897"
CARQUEST,CarQuest,101013,75 AKERLEY BLVD UNITS C & D,DARTMOUTH,NS,B3B 1R7,9024688444,CAN,"44.7134712,-63.5957874","44.7134712,-63.5957874"
CARQUEST,CarQuest,101014,312 17TH ST,BETTENDORF,IA,52722,5633594413,USA,"41.5255794,-90.5089123","41.5255794,-90.5089123"
CARQUEST,CarQuest,101015,936 16TH AVE,EAST MOLINE,IL,61244,3097550628,USA,"41.5150494,-90.4394037","41.5150494,-90.4394037"
CARQUEST,CarQuest,101016,109 S CHICAGO ST,GENESEO,IL,61254,3099448164,USA,"41.4523624,-90.1443611","41.4523624,-90.1443611"
CARQUEST,CarQuest,101017,4598 SE DELAWARE AVE,ANKENY,IA,50021,5159633030,USA,"41.6911204,-93.5830093","41.6911204,-93.5830093"
CARQUEST,CarQuest,101018,3633 VALLEY PIKE,WINCHESTER,VA,22602,5408682207,USA,"39.1257359,-78.1922209","39.1257359,-78.1922209"
CARQUEST,CarQuest,101019,2400 E 22ND ST,DES MOINES,IA,50317,5152663220,USA,"41.6169047,-93.5786675","41.6169047,-93.5786675"
CARQUEST,CarQuest,101020,10121 HICKMAN RD,URBANDALE,IA,50322,5153345188,USA,"41.6165725,-93.7570164","41.6165725,-93.7570164"
CARQUEST,CarQuest,101021,821 E VILLARD,DICKINSON,ND,58601-0526,7012255129,USA,"46.8780819,-102.7721803","46.8780819,-102.7721803"
CARQUEST,CarQuest,101022,457 ADELARD-SAVOIE BLVD UNIT #,DIEPPE,NB,E1A 7E7,5068543500,CAN,"46.1085599,-64.7040356","46.1085599,-64.7040356"
CARQUEST,CarQuest,101023,204 NORTH MONTANA ST,DILLON,MT,59725,4066836141,USA,"45.2190369,-112.6353014","45.2190369,-112.6353014"
CARQUEST,CarQuest,101024,250 ROUTE 46,DOVER,NJ,07801,9733288890,USA,"40.8884132,-74.5455559","40.8884132,-74.5455559"
CARQUEST,CarQuest,101025,600 CREEK ROAD,DELANCO,NJ,08075,6093269014,USA,"40.0429123,-74.9308569","40.0429123,-74.9308569"
CARQUEST,CarQuest,101026,5253 126TH AVE N,CLEARWATER,FL,33760,7275920205,USA,"27.8872413,-82.7054586","27.8872413,-82.7054586"
CARQUEST,CarQuest,101027,11000 W. COLFAX AVENUE,LAKEWOOD,CO,80215,9192270000,USA,"39.7397999,-105.1205507","39.7397999,-105.1205507"
CARQUEST,CarQuest,101028,9850 INDIANAPOLIS BLVD.,HIGHLAND,IN,46322,2199619535,USA,"41.5344033,-87.4717466","41.5344033,-87.4717466"
CARQUEST,CarQuest,101029,3151 S. NOLAND ROAD,INDEPENDENCE,MO,64055,8168597591,USA,"39.0626626,-94.413748","39.0626626,-94.413748"
CARQUEST,CarQuest,101030,4090 LAFAYETTE ROAD,INDIANAPOLIS,IN,46222,3175540370,USA,"39.8292428,-86.2416115","39.8292428,-86.2416115"
CARQUEST,CarQuest,101031,15206 KUYKENDAHL ROAD,HOUSTON,TX,77090,2818855440,USA,"30.0002678,-95.4556975","30.0002678,-95.4556975"
CARQUEST,CarQuest,101032,1420 TOSHIBA DRIVE,LEBANON,TN,37087,6159943308,USA,"36.2303498,-86.3291197","36.2303498,-86.3291197"
CARQUEST,CarQuest,101033,7211 MCKNIGHT ROAD,PITTSBURGH,PA,15237,4123183025,USA,"40.5353569,-80.0118322","40.5353569,-80.0118322"
CARQUEST,CarQuest,101034,2177 COVINGTON PIKE,MEMPHIS,TN,38128,9192775100,USA,"35.1853046,-89.8969533","35.1853046,-89.8969533"
CARQUEST,CarQuest,101035,3101 MORSE ROAD,COLUMBUS,OH,43231,6149342085,USA,"40.057855,-82.937077","40.057855,-82.937077"
CARQUEST,CarQuest,101036,4515 E MIAMI ST,PHOENIX,AZ,85040,-,USA,"33.417627,-111.983839","33.417627,-111.983839"
CARQUEST,CarQuest,101037,2451 MCCRAKEN RD,SANFORD,FL,32771,4073248586,USA,"28.801848,-81.292891","28.801848,-81.292891"
CARQUEST,CarQuest,101038,1017 E I65 SERVICE RD S,MOBILE,AL,36606,2515090160,USA,"30.6686856,-88.1262026","30.6686856,-88.1262026"
CARQUEST,CarQuest,101039,2707 OKEECHOBEE BLVD,WEST PALM BEACH,FL,33409,5612734895,USA,"26.707106,-80.0954378","26.707106,-80.0954378"
CARQUEST,CarQuest,101040,63 PIERCE ROAD,WINDER,GA,30680,4042984711,USA,"34.0035049,-83.784206","34.0035049,-83.784206"
CARQUEST,CarQuest,101041,12551 OLD GLENN HWY,EAGLE RIVER,AK,99577,9076944223,USA,"61.3340119,-149.5632935","61.3340119,-149.5632935"
CARQUEST,CarQuest,101042,20 ELM STREET,EAST AURORA,NY,14052,7166525100,USA,"42.7672951,-78.6111135","42.7672951,-78.6111135"
CARQUEST,CarQuest,101043,270 RUE VICTORIA,EDMUNDSTON,NB,E3V 2H9,5067395799,CAN,"47.3715081,-68.3270417","47.3715081,-68.3270417"
CARQUEST,CarQuest,101044,6677 BLACK HORSE PIKE,EGG HARBOR TOWNSHIP,NJ,08234,6096414321,USA,"39.4103499,-74.5708144","39.4103499,-74.5708144"
CARQUEST,CarQuest,101045,641 STATE STREET,EL CENTRO,CA,92243,7603523391,USA,"32.7915141,-115.5580081","32.7915141,-115.5580081"
CARQUEST,CarQuest,101046,1005 HWY 17 SOUTH,ELIZABETH CITY,NC,27909,2523359618,USA,"36.2889,-76.2536599","36.2889,-76.2536599"
CARQUEST,CarQuest,101047,351  E. PENNSYLVANIA,ESCONDIDO,CA,92025,7607456461,USA,"33.1250747,-117.0789026","33.1250747,-117.0789026"
CARQUEST,CarQuest,101048,2525 SKEETER DRIVE,FAIRBANKS,AK,99709,9074521627,USA,"64.814815,-147.78005","64.814815,-147.78005"
CARQUEST,CarQuest,101049,350 EAST RUSSEL ST.,FAYETTEVILLE,NC,28301,9104832626,USA,"35.0481884,-78.8734282","35.0481884,-78.8734282"
CARQUEST,CarQuest,101050,6320 FLORIN ROAD,SACRAMENTO,CA,95823,9163923033,USA,"38.4956693,-121.4305145","38.4956693,-121.4305145"
